Model,Test Acc (%),Macro F1,Normal Recall,Pneumonia Recall,Novel Components
Baseline CNN,95.22727272727273,0.9392041267501843,0.9033613445378151,0.9704049844236761,None
+ Attention,93.63636363636364,0.9184991135455531,0.865546218487395,0.9626168224299065,Spatial Attention
+ Attention + Focal Loss + Cosine Annealing,93.29545454545455,0.9162514456787714,0.8991596638655462,0.9454828660436138,Attention + Focal Loss + Cosine Annealing
